Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid,Gold_Spread,Sov_Old_Spread,Sov_New_Upto1973_Spread,Sov_New_Post1974_Spread
2009-01-02,19.91,21.65,150.07,167.6,150.07,167.6,150.07,167.6,-1.74,-17.53,-17.53,-17.53
2009-01-07,20.16,21.92,151.77,169.64,151.77,169.64,151.77,169.64,-1.76,-17.87,-17.87,-17.87
2009-01-08,19.67,21.39,148.2,165.44,148.2,165.44,148.2,165.44,-1.72,-17.24,-17.24,-17.24
2009-01-12,20.08,21.83,151.16,168.68,151.16,168.68,151.16,168.68,-1.75,-17.52,-17.52,-17.52
2009-01-13,19.63,21.35,147.61,165.04,147.61,165.04,147.61,165.04,-1.72,-17.43,-17.43,-17.43
2009-01-19,19.93,21.68,150.23,167.78,150.23,167.78,150.23,167.78,-1.75,-17.55,-17.55,-17.55
2009-01-20,20.18,21.94,152.03,169.89,152.03,169.89,152.03,169.89,-1.76,-17.86,-17.86,-17.86
2009-01-21,21.07,22.91,158.42,177.06,158.42,177.06,158.42,177.06,-1.84,-18.64,-18.64,-18.64
2009-01-22,20.75,22.56,156.04,174.13,156.04,174.13,156.04,174.13,-1.81,-18.09,-18.09,-18.09
2009-01-23,21.45,23.32,161.44,180.38,161.44,180.38,161.44,180.38,-1.87,-18.94,-18.94,-18.94
2009-01-26,22.15,24.07,166.49,185.97,166.49,185.97,166.49,185.97,-1.92,-19.48,-19.48,-19.48
2009-01-27,21.33,23.19,160.67,179.57,160.67,179.57,160.67,179.57,-1.86,-18.9,-18.9,-18.9
2009-01-28,21.18,23.03,158.76,177.57,158.76,177.57,158.76,177.57,-1.85,-18.81,-18.81,-18.81
2009-01-29,21.34,23.21,160.49,179.13,160.49,179.13,160.49,179.13,-1.87,-18.64,-18.64,-18.64
2009-01-30,22.69,24.66,170.73,190.88,170.73,190.88,170.73,190.88,-1.97,-20.15,-20.15,-20.15
2009-02-03,22.21,24.14,167.01,186.59,167.01,186.59,167.01,186.59,-1.93,-19.58,-19.58,-19.58
2009-02-04,22.07,23.99,166.15,185.58,166.15,185.58,166.15,185.58,-1.92,-19.43,-19.43,-19.43
2009-02-05,22.49,24.44,169.77,189.48,169.77,189.48,169.77,189.48,-1.95,-19.71,-19.71,-19.71
2009-02-06,22.71,24.68,171.22,191.09,171.22,191.09,171.22,191.09,-1.97,-19.87,-19.87,-19.87
